Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Clinocervantite,,,,,,,,,,20.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinochalcomenite,3.28,2.0,1.78,,,,,,,35.31,,,,,,,,,,,,,,,,,,,,,28.05,,,,,34.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinochlore,2.65,2.25,1.35,,,,,,,48.38,,,,15.31,9.07,14.16,,,,,,,,,,,,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinochrysotile,2.59,2.75,1.45,,,,,,,51.96,,,,26.31,,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoclase,,,0.79,,,,,,,29.43,,,,,,,,,,,,,,,,,,,,,50.09,,,,19.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoenstatite,3.4,5.5,,,,,,,,47.81,,,,24.21,,27.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoferroholmquistite,,5.5,0.25,,1.7,,,,,47.14,,,,2.98,6.63,27.58,,,,,,,,,,,,13.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoferrosilite,4.068,5.5,,,,,,,,38.69,,,,4.9,,22.64,,,,,,,,,,,,33.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinohedrite,3.33,5.5,0.94,,,,,,,37.11,,,,,,13.03,,,,,,18.59,,,,,,,,,,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoholmquistite,3.0,5.5,0.02,,1.63,,,,,46.62,1.77,,1.3,5.9,7.5,28.27,,,,,0.2,1.31,,,,,0.35,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinohumite,3.26,6.0,0.07,,,,,,,37.98,4.1,,,23.6,,16.16,,,,,,,,,,,,18.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinojimthompsonite,3.02,2.25,0.33,,,,,,,46.49,,,,14.71,,27.2,,,,,,,,,,,,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinokurchatovite,3.07,4.5,,,,,12.11,,,44.81,,,,8.17,,,,,,,,22.45,,,,,3.08,9.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinomimetite,7.36,3.75,,,,,,,,12.9,,,,,,,,,2.38,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinophosinaite,2.86,4.0,,,,,,,,38.77,,,23.88,,,9.72,10.72,,,,,13.87,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoptilolite-Ca,2.15,3.75,1.74,,,,,,,55.84,,,1.48,0.15,6.61,29.91,,,,,1.5,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoptilolite-K,2.15,3.75,1.71,,,,,,,54.27,,,0.69,0.16,6.22,29.15,,,,,6.52,0.06,,,,,0.02,0.06,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoptilolite-Na,2.15,3.75,1.52,,,,,,,54.68,,,3.21,,6.6,30.32,,,,,1.89,0.9,,,,,0.02,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinosafflorite,7.46,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,8.06,17.01,2.82,,,,,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinotobermorite,2.58,4.5,1.88,,,,,,,49.0,,,,,,22.44,,,,,,26.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinotyrolite,3.22,,1.97,,,,,,,37.47,,,,,,,,0.62,,,,5.13,,,,,,,,,36.6,,,,18.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinoungemachite,,,1.81,,,,,,,49.25,,,17.69,,,,,16.45,,,10.03,,,,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinozoisite,3.34,7.0,0.22,,,,,,,45.78,,,,,17.82,18.54,,,,,,17.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinozoisite-Sr,,5.25,0.2,,,,,,,41.62,,,,,13.39,16.86,,,,,,10.27,,,,,,5.03,,,,,,,,,,,,12.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clintonite,3.05,4.5,0.48,,,,,,,46.17,,,,12.86,22.06,8.78,,,,,,9.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloncurryite,,2.0,1.42,,,,,,,48.06,3.83,,,,14.49,,16.63,,,,,,,,6.02,,,,,,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coalingite,2.37,1.5,3.29,,,,,1.4,,54.02,,,,28.3,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltarthurite,3.22,3.75,1.83,,,,,,,41.09,,,,0.46,,,,,,,,,,,,,1.03,21.98,5.52,,,,,,28.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltaustinite,,4.5,0.4,,,,,,,31.38,,,,,,,,,,,,15.72,,,,,,,23.12,,,,,,29.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltite,6.33,5.5,,,,,,,,,,,,,,,,19.33,,,,,,,,,,,35.52,,,,,,45.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltkieserite,,2.5,1.15,,,,,,,45.71,,,,,,0.16,,17.41,,,,,,,,,,,33.0,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltkoritnigite,,2.5,1.38,,,,,,,36.61,,,,,,,,,,,,,,,,,,,20.23,,,7.48,,,34.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltlotharmeyerite,,4.5,0.71,,,,,,,34.12,,,,,,,,,,,,8.55,,,,,,8.34,12.57,3.76,,,,,31.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltneustadtelite,,4.5,0.33,,,,,,,21.9,,,,,,,,,,,,,,,,,,7.64,4.03,1.34,,,,,17.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltomenite,3.39,2.25,1.82,,,,,,,36.05,,,,,,,,,,,,,,,,,,,26.56,,,,,,,35.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltpentlandite,,4.5,,,,,,,,,,,,,,,,32.6,,,,,,,,,,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalttsumcorite,,4.5,0.53,,,,,,,26.07,,,,,,,,,,,,,,,,,,6.43,7.76,3.86,,,,,24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobaltzippeite,4.3,5.25,1.7,,,,,,,32.2,,,,,,,,3.87,,,,,,,,,,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Coccinite,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.86,,,,,,,,,,,,,,,,,,,,,,,,,,,44.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochromite,5.22,7.0,,,,,,,,30.77,,,,1.17,5.19,,,,,,,,,,,35.0,,8.06,14.17,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconinoite,2.7,1.5,2.49,,,,,,,45.71,,,,,3.5,,8.05,2.08,,,,,,,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.91,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeruleolactite,2.6,5.0,2.22,,,,,,,56.76,,,,,19.81,,15.16,,,,,2.94,,,,,,,,,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coesite,2.93,7.5,,,,,,,,53.26,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffinite,5.1,5.5,0.12,,,,,,,19.53,,,,,,7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohenite,7.42,5.75,,,,,,6.56,,,,,,,,,,,,,,,,,,,,54.92,9.66,28.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coiraite,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,1.44,,,,,,,5.26,,,,,,,,,,,,,,0.33,,,17.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colemanite,2.42,4.5,2.45,,,,15.78,,,62.27,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colimaite,,,,,,,,,,,,,0.47,,,,,42.94,,,38.9,,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collinsite,2.95,3.25,1.19,,,,,,,47.29,,,,5.39,,,18.31,,,,,23.69,,,,,,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coloradoite,8.07,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colquiriite,2.94,4.0,,,3.69,,,,,,60.64,,,,14.35,,,,,,,21.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbite-Fe,6.3,6.0,,,,,,,,28.43,,,,,,,,,,,,,,,,,,16.54,,,,,,,,,,,,,,,55.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbite-Mg,5.04,6.5,,,,,,,,29.05,,,,5.15,0.82,,,,,,,,,2.9,,,1.66,1.69,,,,,,,,,,,,,,,47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbite-Mn,5.28,6.0,,,,,,,,24.31,,,,,,,,,,,,,,1.21,,,6.96,7.07,,,,,,,,,,,,,,,32.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusite,4.2,3.5,,,,,,,,,,,,,,,,30.66,,,,,,,3.04,,,,,,47.47,,,1.3,6.72,,,,,,,,,,,,,,,,,4.26,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comancheite,7.7,2.0,,,,,,,,4.68,,,,,,,,,8.06,,,,,,,,,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combeite,2.844,,,,,,,,,40.63,,,12.97,,,23.78,,,,,,22.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comblainite,3.05,2.0,2.77,,,,,1.37,,42.09,,,,,,,,,,,,,,,,,,,13.48,40.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compreignacite,5.03,,1.1,,,,,,,23.9,,,,,,,,,,,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.11,,,,,,,,,,,,,,,,,,,,,,,,,,
Congolite,3.58,7.0,,,,,16.52,,,45.41,,,,4.78,,,,,7.74,,,,,,,,3.6,21.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conichalcite,4.1,4.5,0.39,,,,,,,30.82,,,,,,,,,,,,15.44,,,,,,,,,24.48,,,,28.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connellite,3.4,3.0,1.87,,,,,,,30.53,,,,,,,,1.57,6.94,,,,,,,,,,,,59.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookeite,2.67,2.5,1.54,,1.33,,,,,55.15,,,,,25.84,16.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coombsite,3.0,,0.66,,,,,,,42.11,,,,1.49,5.71,17.82,,,,,1.84,,,,,,20.14,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooperite,9.5,4.5,,,,,,,,,,,,,,,,17.16,,,,,,,,,,,,3.14,,,,,,,,,,,,,,,,,,17.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coparsite,,,,,,,,,,21.14,,,,,,,,,8.73,,,,,,4.56,,,,,,55.5,,,,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copiapite,2.1,2.5,3.39,,,,,,,58.88,,,,,,,,15.39,,,,,,,,,,22.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper,8.94,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquandite,,3.5,0.21,,,,,,,21.39,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coquimbite,2.04,2.0,3.23,,,,,,,59.78,,,,,,,,17.12,,,,,,,,,,19.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corderoite,,1.75,,,,,,,,,,,,,,,,8.7,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordierite,2.65,7.0,,,,,,,,49.23,,,,8.31,18.45,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordylite-Ce,4.44,4.5,,,,,,5.67,,22.68,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63,10.94,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corkite,4.295,4.0,0.91,,,,,,,33.54,,,,,,,4.64,4.8,,,,,,,,,,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornetite,,,0.9,,,,,,,33.27,,,,,,,9.2,,,,,,,,,,,,,,56.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornubite,,,0.89,,,,,,,30.51,,,,,,,,,,,,,,,,,,,,,46.61,,,,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornwallite,,,0.89,,,,,,,30.51,,,,,,,,,,,,,,,,,,,,,46.61,,,,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronadite,5.44,4.75,,,,,,,,27.42,,,,,0.29,,,,,,,,,,1.09,,45.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,24.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrensite,,1.5,2.3,,,,,,,50.85,,,0.37,9.9,6.6,13.73,,,,,0.64,1.96,,,,,,13.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corundum,4.05,9.0,,,,,,,,47.07,,,,,52.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corvusite,2.82,2.75,0.97,,,,,,,46.3,,,1.66,,,,,,,,0.71,1.21,,,49.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosalite,6.6,2.75,,,,,,,,,,,,,,,,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coskrenite-Ce,,,2.28,,,,,3.4,,45.28,,,,,,,,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,21.81,,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costibite,6.89,6.0,,,,,,,,,,,,,,,,15.07,,,,,,,,,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,57.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotunnite,5.55,1.75,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coulsonite,5.18,4.75,,,,,,,,28.86,,,,,,,,,,,,,,,45.95,,,25.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cousinite,,,1.2,,,,,,,30.15,,,,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Coutinhoite,,1.5,0.27,,,,,,,20.97,,,,,,6.52,0.12,,,,0.13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Covellite,4.68,1.75,,,,,,,,,,,,,,,,33.54,,,,,,,,,,,,,66.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowlesite,2.14,5.25,2.71,,,,,,,57.35,,,,,12.09,18.88,,,,,,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coyoteite,2.879,1.5,1.04,,,,,,,8.27,,,5.94,,,,,41.44,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
