Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Aenigmatite,3.79,5.5,,,,,,,,37.26,,,4.99,0.65,1.01,18.15,,,,,,0.77,,5.85,,,1.28,29.95,,,,0.04,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerinite,2.48,3.0,1.87,,,,,0.74,,52.34,,,0.59,1.25,8.47,17.34,,,,,,10.51,,,,,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerugite,5.9,4.0,,,,,,,,22.93,,,,,,,,,,,,,,,,,,,,54.07,,,,,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynite-Ce,5.19,5.5,0.33,,,,,,,31.4,,,,,,,,,,,,3.93,,27.41,,,,1.83,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynite-Nd,4.82,5.5,0.29,,,,,,,27.7,,,,,,,,,,,,,,24.17,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,16.17,,24.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynite-Y,4.99,5.5,0.37,,,,,,,34.91,,,,,,,,,,,,4.37,,30.47,,,,2.03,,,,,,,,,,,,,19.4,,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanite,2.59,5.75,0.08,,,,,0.1,,41.16,,,9.19,,13.26,14.27,,3.39,4.58,,2.28,11.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afwillite,2.62,3.0,1.77,,,,,,,46.72,,,,,,16.4,,,,,,35.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardite-Ca,3.72,3.5,1.22,,,,,,,33.79,,,,,,,,,,,,4.03,,,,,,,,,38.35,,,,22.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardite-Ce,3.72,3.0,1.24,,,,,,,32.27,,,,,,0.45,,0.15,,,,0.86,,,,,,0.26,,,34.3,,,,20.15,,,,,,0.75,,,,,,,,,,,,,,,,,,1.95,4.32,,2.02,,0.42,0.28,0.44,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
